"logFC","AveExpr","t","P.Value","adj.P.Val","B","Probe_ID","SYMBOL","GENENAME","ENTREZID","Direction"
-2.91149,7.42991833333333,-28.8589541230201,2.86007070741427e-07,6.39139425132704e-05,7.9398438578754,"8102831","MGARP","mitochondria localized glutamic acid rich protein","84709","Downregulated"
3.58689,6.14530333333333,28.7453040634533,2.92312577010041e-07,6.46630017302544e-05,7.91881626024482,"8097017","UGT8","UDP glycosyltransferase 8","7368","Upregulated"
-3.1074,9.32385,-28.7211687320954,2.93672662501256e-07,6.46630017302544e-05,7.91433630008768,"8114287","SPOCK1","SPARC (osteonectin), cwcv and kazal like domains proteoglycan 1","6695","Downregulated"
-3.052985,8.21865,-28.6944851662175,2.95185039583106e-07,6.46630017302544e-05,7.90937743652986,"7965979","ALDH1L2","aldehyde dehydrogenase 1 family member L2","160428","Downregulated"
4.02403,7.70587333333333,28.5761941628105,3.02001127289876e-07,6.54588465700285e-05,7.88731933460946,"8109752","TENM2","teneurin transmembrane protein 2","57451","Upregulated"
-2.97927,8.304245,-28.5633921046174,3.02749868510208e-07,6.54588465700285e-05,7.8849247338318,"8056257","FAP","fibroblast activation protein alpha","2191","Downregulated"
3.348325,7.195465,28.5051385635514,3.06184641817721e-07,6.5590135158158e-05,7.87401029070318,"7942118","MYEOV","myeloma overexpressed","26579","Upregulated"
-5.082585,7.49465666666667,-28.4864415846815,3.0729678603696e-07,6.5590135158158e-05,7.87050085709769,"8135576","TES","testin LIM domain protein","26136","Downregulated"
-2.71833,10.9036233333333,-28.3300786717258,3.16786494352128e-07,6.58023860670289e-05,7.84103004136864,"7916493","PLPP3","phospholipid phosphatase 3","8613","Downregulated"
3.35468,8.48519,28.3082867671897,3.18136302784604e-07,6.58023860670289e-05,7.83690547359067,"7975779","FOS","Fos proto-oncogene, AP-1 transcription factor subunit","2353","Upregulated"
-2.964435,9.613715,-28.3080779727902,3.1814926843472e-07,6.58023860670289e-05,7.83686593439639,"8105302","FST","follistatin","10468","Downregulated"
3.045835,6.10296833333333,28.2985754019562,3.18740015978605e-07,6.58023860670289e-05,7.83506602870622,"8175775","MAGEA1","MAGE family member A1","4100","Upregulated"
-2.981765,10.7087783333333,-28.2797577998851,3.19913672324366e-07,6.58023860670289e-05,7.83149935312142,"7935058","MYOF","myoferlin","26509","Downregulated"
