"logFC","AveExpr","t","P.Value","adj.P.Val","B"
2.739945,7.96824666666667,20.7061756133653,1.78361497880293e-06,0.000290748718410709,6.11814836080976
2.808565,6.92541666666667,20.6850282639019,1.79366141644682e-06,0.000290748718410709,6.11240922464033
2.4957,10.91993,20.6771308128535,1.79743032960347e-06,0.000290748718410709,6.11026409148337
-3.22941,7.19502,-20.6654351215947,1.8030290335784e-06,0.000290748718410709,6.10708540670776
-2.329115,5.08879666666667,-20.6560849149673,1.80751973784475e-06,0.000290748718410709,6.1045425847837
2.99006,5.13165,20.5714934567902,1.84875167471609e-06,0.000295951367851066,6.08147286589771
2.53281,8.07245666666667,20.5528385009736,1.85799306257763e-06,0.000296007631601183,6.07636954927926
-3.04692,6.43818333333333,-20.4694624150183,1.89996720837075e-06,0.000300906039600187,6.05349093393395
2.308395,8.18817166666667,20.4560687374258,1.90681365755592e-06,0.000300906039600187,6.04980497923536
-2.34067,7.03986166666667,-20.4147475413315,1.9281196759466e-06,0.00030283302287733,6.03841460884136
-1.98125,9.76535666666667,-20.3617676889305,1.95584875951313e-06,0.000305542414175749,6.02376895147932
-2.00492,8.609505,-20.3403946991293,1.96716793927077e-06,0.000305542414175749,6.01784738525938
-2.29659,5.52173166666667,-20.3173592702104,1.97945404835108e-06,0.000305542414175749,6.01145666929562
-2.118815,8.69610833333333,-20.3124664254204,1.98207530594233e-06,0.000305542414175749,6.0100981032794
-3.11249,7.00966666666667,-20.2675282115494,2.00634237758703e-06,0.000307857982242006,5.99760158648196
2.066225,9.691915,20.2166488523417,2.03424134202326e-06,0.000309085727161748,5.98341188984071
2.20647,7.329265,20.20352247734,2.04151298557431e-06,0.000309085727161748,5.97974398935262
-2.52789,5.774865,-20.1920352684758,2.04790170669981e-06,0.000309085727161748,5.97653172658986
-2.12584,8.49949333333333,-20.1818547860016,2.05358336890351e-06,0.000309085727161748,5.97368300466636
2.34897,6.94424666666667,20.1690479554166,2.06075716821059e-06,0.000309085727161748,5.97009687499712
2.00942,10.0611283333333,20.1459698308546,2.07375913199091e-06,0.000309641066447989,5.96362757195431
-2.2728,6.85131,-20.0914718196236,2.10484811021271e-06,0.000311698528412384,5.94831456591275
-3.78419,7.211595,-20.0813022434453,2.11071005576997e-06,0.000311698528412384,5.94545147135244
-2.38098,7.41934,-20.0571034720688,2.12473619042206e-06,0.000311698528412384,5.93863153931815
2.21226,6.40966,20.0566789852703,2.12498321018744e-06,0.000311698528412384,5.93851181671241
3.133995,7.855265,19.9816039448345,2.16920824329885e-06,0.000315355116506925,5.91728884022391
-2.53227,6.88017166666667,-19.9695188869672,2.17642815286864e-06,0.000315355116506925,5.91386342948372
-2.91337,6.47301833333333,-19.9663522143255,2.17832467779658e-06,0.000315355116506925,5.91296544440063
-2.23028,9.05220666666667,-19.9276244970131,2.20167694449389e-06,0.000317356005284905,5.90196922917736
2.00573,10.5181883333333,19.8474390395387,2.2509715139554e-06,0.000323062924569711,5.87911874942836
-2.39379,6.46794,-19.8022836544291,2.27930294553474e-06,0.000325132494649655,5.86620135059981
3.2747,5.54630333333333,19.7742798759363,2.29708409576705e-06,0.000325132494649655,5.85817245050136
2.10765,8.93848,19.7563192018142,2.3085743198484e-06,0.000325132494649655,5.85301571891628
2.14685,9.4005,19.7094606051741,2.33887190751059e-06,0.000325132494649655,5.83953522286848
-3.570805,5.87282333333333,-19.7013972604741,2.34413256474202e-06,0.000325132494649655,5.83721160459638
-2.491865,9.0218,-19.6889038828531,2.35231099536967e-06,0.000325132494649655,5.83360910439117
1.98004,9.81707,19.6785045313727,2.35914426797927e-06,0.000325132494649655,5.83060830968771
1.98004,9.81707,19.6785045313727,2.35914426797927e-06,0.000325132494649655,5.83060830968771
1.98004,9.81707,19.6785045313727,2.35914426797927e-06,0.000325132494649655,5.83060830968771
-3.264135,7.66548666666667,-19.6725952040478,2.36303762216465e-06,0.000325132494649655,5.82890228212218
1.94315,11.5188833333333,19.6407428787289,2.38415427686495e-06,0.000326688003937334,5.81969579049366
2.172275,8.30115833333333,19.5826019623701,2.42327494079196e-06,0.000330687646326024,5.80284424844241
-2.493335,8.71012,-19.5191074838528,2.46686447804864e-06,0.000332456515825283,5.78437179849886
-2.04591,10.4984966666667,-19.5059830410989,2.47598931218078e-06,0.000332456515825283,5.78054445205099
2.172145,6.06261166666667,19.4978579961296,2.48165821084555e-06,0.000332456515825283,5.77817347035789
-2.46713,7.86109,-19.4922633201616,2.48557054052341e-06,0.000332456515825283,5.77654018613096
2.0149,11.4882666666667,19.4845297372542,2.49099056345761e-06,0.000332456515825283,5.77428154745378
2.72333,7.97899166666667,19.4771939429157,2.49614466637597e-06,0.000332456515825283,5.77213808541697
2.82382,6.84333833333333,19.4334248454456,2.52715899350579e-06,0.000334909813098811,5.75932882703789
-3.799125,7.45177666666667,-19.4121794875369,2.54237671618176e-06,0.000334909813098811,5.75309871617448
2.557815,7.256645,19.4088946053712,2.54473924719942e-06,0.000334909813098811,5.75213470509078
-1.90699,8.20675666666667,-19.3322675100548,2.60059109142869e-06,0.000340912919572052,5.72959112205981
-1.88028,7.023145,-19.2885399231936,2.63310988441978e-06,0.00034199323525422,5.71667829309865
-2.025055,6.41078333333333,-19.2866668699561,2.63451347436785e-06,0.00034199323525422,5.71612439155142
-2.58133,7.04131666666667,-19.2798288987057,2.63964505692208e-06,0.00034199323525422,5.71410170957965
-1.91738,8.98576,-19.250346902737,2.66190515243828e-06,0.000343540526592005,5.70537101219307
