"logFC","AveExpr","t","P.Value","adj.P.Val","B","Probe_ID"
-3.308985,9.75410666666667,-30.3824827580407,2.1520922949706e-07,5.65722010784547e-05,8.21128555035004,"7957260"
-4.175495,8.72188166666667,-30.3680536949502,2.15775281165383e-07,5.65722010784547e-05,8.20880282522991,"8004510"
-4.44673,7.422545,-30.3196837859085,2.17685677858713e-07,5.66271876223559e-05,8.20046818972384,"8161865"
2.980115,8.215445,30.1597756448828,2.24144819101704e-07,5.71961584348705e-05,8.17278320879218,"8124448"
3.61006,8.43525833333333,30.1342209351903,2.2519786217242e-07,5.71961584348705e-05,8.16834015284529,"8067233"
2.986425,6.64267166666667,30.1206201883117,2.25760691343309e-07,5.71961584348705e-05,8.1659733499702,"8063156"
3.017975,6.04330166666667,30.0969557078041,2.26743938294829e-07,5.71961584348705e-05,8.16185174640833,"8108729"
-3.80221,6.88017166666667,-29.9842846170494,2.3149517651414e-07,5.79556006946715e-05,8.14216668998589,"8154135"
-3.693595,8.52520666666667,-29.9072493222616,2.34811295802645e-07,5.80850096644182e-05,8.12864905519357,"7927964"
4.90263,5.792025,29.8880248879441,2.35647556931156e-07,5.80850096644182e-05,8.12526822770097,"8175344"
2.86486,7.35451833333333,29.7607971627853,2.41271325944238e-07,5.80850096644182e-05,8.10281843590662,"7996081"
3.20909,6.696285,29.7590159091578,2.41351177645245e-07,5.80850096644182e-05,8.10250319440693,"8022118"
-3.17905,8.95774833333333,-29.7088679411836,2.43612096417372e-07,5.80850096644182e-05,8.09361752941046,"8130739"
-4.0528,6.660695,-29.617959917236,2.47774666719239e-07,5.80850096644182e-05,8.07745722021096,"8172425"
4.01124,6.76034833333333,29.5824811102142,2.49421909627496e-07,5.80850096644182e-05,8.07113191547054,"8175871"
4.63379,6.73059666666667,29.5697494525618,2.50016172227705e-07,5.80850096644182e-05,8.06885953841356,"7977456"
-5.540285,10.0363383333333,-29.5584614749347,2.50544446071586e-07,5.80850096644182e-05,8.06684371571687,"8130867"
4.85382,6.42313833333333,29.5466397528188,2.51099110315899e-07,5.80850096644182e-05,8.06473144968115,"7963396"
-3.37336,7.56597,-29.5444704122276,2.51201050895763e-07,5.80850096644182e-05,8.0643437138912,"8075635"
-3.576035,9.217,-29.3304626418355,2.61501802805934e-07,6.00498312277875e-05,8.02590135899937,"7953603"
2.812985,8.34625666666667,29.2522534026968,2.6538991646073e-07,6.05252606054309e-05,8.01175723037346,"8110755"
2.84937,8.50709666666667,29.1216694071707,2.72034787377666e-07,6.16186552062188e-05,7.98802633887518,"7919637"
3.57791,5.50972166666667,28.9248619952403,2.82423859944766e-07,6.35396436796004e-05,7.95198705437973,"8096440"
-2.91149,7.42991833333333,-28.8589541230201,2.86007070741427e-07,6.39139425132704e-05,7.9398438578754,"8102831"
3.58689,6.14530333333333,28.7453040634533,2.92312577010041e-07,6.46630017302544e-05,7.91881626024482,"8097017"
-3.1074,9.32385,-28.7211687320954,2.93672662501256e-07,6.46630017302544e-05,7.91433630008768,"8114287"
-3.052985,8.21865,-28.6944851662175,2.95185039583106e-07,6.46630017302544e-05,7.90937743652986,"7965979"
4.02403,7.70587333333333,28.5761941628105,3.02001127289876e-07,6.54588465700285e-05,7.88731933460946,"8109752"
-2.97927,8.304245,-28.5633921046174,3.02749868510208e-07,6.54588465700285e-05,7.8849247338318,"8056257"
3.348325,7.195465,28.5051385635514,3.06184641817721e-07,6.5590135158158e-05,7.87401029070318,"7942118"
-5.082585,7.49465666666667,-28.4864415846815,3.0729678603696e-07,6.5590135158158e-05,7.87050085709769,"8135576"
-2.71833,10.9036233333333,-28.3300786717258,3.16786494352128e-07,6.58023860670289e-05,7.84103004136864,"7916493"
3.35468,8.48519,28.3082867671897,3.18136302784604e-07,6.58023860670289e-05,7.83690547359067,"7975779"
-2.964435,9.613715,-28.3080779727902,3.1814926843472e-07,6.58023860670289e-05,7.83686593439639,"8105302"
3.045835,6.10296833333333,28.2985754019562,3.18740015978605e-07,6.58023860670289e-05,7.83506602870622,"8175775"
-2.981765,10.7087783333333,-28.2797577998851,3.19913672324366e-07,6.58023860670289e-05,7.83149935312142,"7935058"
-4.174115,6.65974166666667,-28.2760015732272,3.20148558214214e-07,6.58023860670289e-05,7.83078702046453,"8151952"
2.8457,8.38354666666667,28.1743124671272,3.26585356356109e-07,6.6239442253413e-05,7.81145446276565,"8067652"
4.20858,5.080285,28.1180972964268,3.30209157462905e-07,6.6239442253413e-05,7.80072711847065,"8167866"
-3.332975,7.85420666666667,-28.1101067774641,3.30728089314772e-07,6.6239442253413e-05,7.79919999331541,"8154512"
2.852665,9.41746,28.0971740182558,3.31570025865582e-07,6.6239442253413e-05,7.79672709429823,"8085984"
4.786995,6.91803166666667,28.0406506043259,3.35279542132186e-07,6.6239442253413e-05,7.78590130516312,"8045257"
3.056035,7.69224166666667,28.0394503709091,3.35358839876506e-07,6.6239442253413e-05,7.7856711122345,"7977452"
3.62129,5.52543333333333,28.0267328148301,3.36200430694261e-07,6.6239442253413e-05,7.78323120389864,"8168646"
-3.65389,6.263175,-27.910579927302,3.44003238759228e-07,6.70527913960825e-05,7.76087845227288,"8176276"
-2.777955,7.16405166666667,-27.9053997972571,3.44356168085116e-07,6.70527913960825e-05,7.75987869411372,"8180376"
-2.715245,11.1380683333333,-27.8429102559371,3.4864747633902e-07,6.7423561333214e-05,7.74779883303939,"8046922"
-3.598435,9.33246833333333,-27.8078884574154,3.51080066089397e-07,6.7423561333214e-05,7.74101301001045,"8103822"
-3.595465,7.25812666666667,-27.7584183715978,3.54550401477653e-07,6.7423561333214e-05,7.73140834014492,"8035517"
-2.878605,10.524465,-27.7376230877531,3.56021255889471e-07,6.7423561333214e-05,7.72736413422363,"8131844"
3.59794,5.52578166666667,27.7103720168879,3.57959632494718e-07,6.7423561333214e-05,7.72205833759746,"8176397"
-3.119625,9.66180833333333,-27.6968886899378,3.58923304580233e-07,6.7423561333214e-05,7.71943056992031,"8155169"
2.9907,7.66539166666667,27.6758276670098,3.60434691332915e-07,6.7423561333214e-05,7.71532259149908,"8074168"
2.832335,7.26553,27.5450583820767,3.69988700637562e-07,6.88240992465302e-05,7.68972295491297,"8162533"
-4.194125,7.280665,-27.5156172163111,3.72180657317386e-07,6.8847218592761e-05,7.68393733097526,"7947512"
-2.670835,8.75944666666667,-27.457964310571,3.76517535848619e-07,6.92646651444833e-05,7.67258396870419,"8114536"
3.37106,7.12451,27.4034984395733,3.80669492152126e-07,6.9643692748293e-05,7.66182928266572,"7979710"
2.792365,6.04598333333333,27.3239044413413,3.86834452110912e-07,7.02091239645995e-05,7.64606208441278,"7971461"
3.36521,6.71213833333333,27.3093142722299,3.87977259497442e-07,7.02091239645995e-05,7.64316527853691,"8124562"
-3.33578,6.56952666666667,-27.2363261732657,3.93754316936826e-07,7.08498549821942e-05,7.62864321275624,"7927827"
4.528025,6.78075,27.2050784061946,3.96258559542225e-07,7.08498549821942e-05,7.62241035046826,"8055222"
